#Order, Name, Date of birth, Date of death, Term began, Term ended
1,George Washington,02/22/1732,12/14/1799,04/30/1789,03/04/1797
2,John Adams,10/30/1735,07/04/1826,03/04/1797,03/04/1801,90.67
3,Thomas Jefferson,04/13/1743,07/04/1826,03/04/1801,03/04/1809
4,James Madison,03/16/1751,06/28/1836,03/04/1809,03/04/1817
5,James Monroe,04/28/1758,07/04/1831,03/04/1817,03/04/1825
6,John Quincy Adams,07/11/1767,02/23/1848,03/04/1825,03/04/1829
7,Andrew Jackson,03/15/1767,06/08/1845,03/04/1829,03/04/1837
8,Martin Van Buren,12/05/1782,07/24/1862,03/04/1837,03/04/1841
9,William Harrison,02/09/1773,04/04/1841,03/04/1841,04/04/1841
10,John Tyler,03/29/1790,01/18/1862,04/04/1841,03/04/1845
11,James Polk,11/02/1795,06/15/1849,03/04/1845,03/04/1849
12,Zachary Taylor,11/24/1784,07/09/1850,03/04/1849,07/09/1850
13,Millard Fillmore,01/07/1800,03/08/1874,07/09/1850,03/04/1853
14,Franklin Pierce,11/23/1804,10/08/1869,03/04/1853,03/04/1857
15,James Buchanan,04/23/1791,06/01/1868,03/04/1857,03/04/1861
16,Abraham Lincoln,02/12/1809,04/15/1865,03/04/1861,04/15/1865
17,Andrew Johnson,12/29/1808,07/31/1875,04/15/1865,03/04/1869
18,Ulysses S. Grant,04/27/1822,07/23/1885,03/04/1869,03/04/1877
19,Rutherford B. Hayes,10/04/1822,01/17/1893,03/04/1877,03/04/1881
20,James Garfield,11/19/1831,09/19/1881,03/04/1881,09/19/1881
21,Chester A. Arthur,10/05/1829,11/18/1886,09/19/1881,03/04/1885
22,Grover Cleveland,03/18/1837,06/24/1908,03/04/1885,03/04/1889
23,Benjamin Harrison,08/20/1833,03/13/1901,03/04/1889,03/04/1893
24,Grover Cleveland,03/18/1837,06/24/1908,03/04/1893,03/04/1897
25,William McKinley,01/29/1843,09/14/1901,03/04/1897,09/14/1901
26,Theodore Roosevelt,10/27/1858,01/06/1919,09/14/1901,03/04/1909
27,William Howard Taft,09/15/1857,03/08/1930,03/04/1909,03/04/1913
28,Woodrow Wilson,12/28/1856,02/03/1924,03/04/1913,03/04/1921
29,Warren Harding,11/02/1865,08/02/1923,03/04/1921,08/02/1923
30,Calvin Coolidge,07/04/1872,01/05/1933,08/02/1923,03/04/1929
31,Herbert Hoover,08/10/1874,10/20/1964,03/04/1929,03/04/1933
32,Franklin D. Roosevelt,01/30/1882,04/12/1945,03/04/1933,04/12/1945
33,Harry S. Truman,05/08/1884,12/26/1972,04/12/1945,01/20/1953
34,Dwight D. Eisenhower,10/14/1890,03/28/1969,01/20/1953,01/20/1961
35,John F. Kennedy,05/29/1917,11/22/1963,01/20/1961,11/22/1963
36,Lyndon B. Johnson,08/27/1908,01/22/1973,11/22/1963,01/20/1969
37,Richard Nixon,01/09/1913,04/22/1994,01/20/1969,08/09/1974
38,Gerald Ford,07/14/1913,12/26/2006,08/09/1974,01/20/1977
39,Jimmy Carter,10/01/1924,,01/20/1977,01/20/1981,
40,Ronald Reagan,02/06/1911,06/05/2004,01/20/1981,01/20/1989,
41,George H. W. Bush,06/12/1924,,01/20/1989,01/20/1993,
42,Bill Clinton,08/19/1946,,01/20/1993,01/20/2001,
43,George W. Bush,07/06/1946,,01/20/2001,,x
